,tweet
7726,dis nicca still rap
7945,barri hoe michell walk ugli beast issotu
5631, bitch nake
8732,die twice bitch  thank    filthiest hoe time 
22068,better flappi  falloutbird 
7414,bitch could never come mouth speak shit idea shes talk
8678,dear ugli hoe stop play hard get alreadi hard want
8056,bitch may million dollar bodi got dollar menu face fourpiec nugget pussi aint worth shit
11355,im onli drive drunk caus bitch drove drink
1683, right rt kingdominicus idk one sell pussi   way high 
24468,still trash 
14710,rt classiertrash shut bitch
14724,rt clintswift  bitch ass nigguh
10657,like kid beyond scare straight act like hard ass gangster end leav ball eye like bitch lol
578,use girlfriend got hoe lookin good girl fuckin low
15763,rt  hoe gonna hoe matter
15634,rt imnottwitfam deal cyber   outsid  itstop pussi
20487,real nigga let real bitch come 
23266,boil blood spoilt much ae arrog bitch u tri show ill flip nd like go nut ohwel
16070,rt koolqueef gave call wife nigger dure sex lent
14847,rt dapolok vikkinosecret hoe life
18068,rt whosflyy readi delet entir instagram app found one ig crush sell pussi backpag  
5723,charloosss keepitplur nicoleariel ill chug tall  homegirl wont approv lol
23566,although last night ladi told key happi new pussi
10992,travel back time middleearth crept enemi slit hobbit throat reflex vomit trembl hand
7250, honest perform red carpet trash hahahaahahahaha
676,blessjesus amo   two walk togeth except agre
7538,aint bitch
24559,theyr work bill prevent retard vote knew retard could vote thing start make sens
13461,ya grandma browni wink wink 
782,truth rt notashley david charli brown scandal
17946,rt uptownbyrd philli full type hoe broke bitch 
15939,rt kychelley gemma sure dirti bitch jax dad tri warn sonsofanarchi
10971,think bitch tryna set uuuuhhuuhhhhhp
20804,tell hoe look like cdfuuu
183,mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo
9511,goodby hop plant  time dink u luv 
3166,femshaveballz u spent signific time ani ghetto wit year terror commit polic black communiti
4061,mclaffytaffi yanke footbal funniest part latest video sincer pittsburgh
2297, bet hes starbuck queer
17621,rt thatindianbruh rise planet ape doin music
13695,onli white trash watch footbal
18650,rt  titl bitch doesnt appli women women lil bitch em
2836,cheyennedoan caus hes faggot
17039,rt rashadbf never trust bitch take quick ass shower
10598,wanna fuck bad bitch
19075,rt halfricannnnn nigger
10569,chillin tho  dont fuck w hoe hoe nigga dont know oper  mayb im wrong
1955, dumb ass   next 
2355,asipofmocha dr phil im troubl figur fat ass want eat drink bitch
19006,rt firmeprincess  huh man   hes gna drown pussi real
13520,obama hellfir missil tend vapor jihadi  puremonotheist uniteblu
12038,jason admit stuck bitch lol think much better everycunt naaaaa
7289,whochrisjon whyyousoshort dis crack ass cracker
22812,shot john lookin ass hoe
7120, pussi heel haha
14937,rt darriondadon kobe whi yo man want hoe guy hold face omgod kobeshia shut 
533,nigga alway yell fuck bitch get money meanwhil theyr broke still want 
19832,rt peidroh tell chickfila cashier thank bitch dont say pleasur 
21742,bitch talk shit whisper
14921,rt danbilzerian appl new iphon softwar shit mayb ill sue u cunt amp request damag base pussi ive miss 
23433,old twitter cri like bitch
14468,rt breadtruckkbri denzi hoe 
2742,callmerene  bad bitch im log everybodi shit
6141,iambillyshear shoulda came famili dinner tonightw talk shit negro
3761,kassiehamilton annelizabeth erinlehr thank kass respect anni bitch
10468,hate text bore bitch
4734, onli medal hate fag wont kill medal thank u privileg let fag live
10663,like bitch like bitch
7443,lot fuck call back bitch trip  lol
9458,god dam man freestyl retard fumni af omg
14358,rt beyoncehasstd hoe know car lmaooo 
22799,white kid black kid yellow kid hell even purpl kid carri yourselv like daniel geal go far 
16712,rt nowthatsfresh hoe love expos hoe twitter
10385,got street head lock got yo bitch leg lock
10407,guess bitch got twist think im weak someth look weak look scari look like somebodi finna pick w
8045,bitch duck whore ass slut cunt ha biden gucci tho whatev nigea  
23532,drunken get free  print bracelet say fake ho
5760,coolstorysam morgannnde thought fuck birth defect made nip heart shape lmao
19993,rt  melo bitch leav well lebron jus bitch regardless lol
8522,control aux cord whole two half hour drive home didnt repeat singl song bet boyfriend couldnt bitch
3992,mollyx use coconut oil faggot
10991,took  rebel vs yanke test  question accent word usag score total   rebel vs  yanke southern pa
18802,rt craigslistlov doctor avail examin pussi testicl peni painless possibl
15550,rt hype african color car push nigger whip
24748,yo hoe get slay  
1566, adam jone homer yanke lead  monsta
19467,rt kristinhersh son wyatt redneck mullet keep get red neck
9102,find ass push stair accid throw water floor shit kick bitch
23363,know ghetto see street name martin luther king jr amp littlejohn halp
4514,reiddh agre fellow cracker
22983,work saturday bird fml
11506,smoke ya bitch
13052,homeboy got hoe number hous arrest  said good wont ask go anywher
12141,might fuck yo main bitch dat feel  
17668,rt thefunnyteen someon tell stop bitch 
1544, find want googl yellow king  kid go
16886,rt  day  yanke joe dimaggio goe   walk vs cleveland indian end  game hit streak
20807,shout babe anastaciacol love bitch 
24369,pussi caus war
5667,broneadam yo bitch stay lookin like clown
3177,flawlessdv aboutstraf nexsmitski also like im call hoe ive say stop
1281, gotta fuck everi race see dickpussi like  thot
8284,california home skater trash
6175,inthekcmix last planet ape kid minut
19586,rt lovesexdeath tonyjrodriguez im queer three dollar bill first respons come sarcast wow realli 
2471, class nig
5587,basedgvb trash
9660,happi birthday bitch  
4466,rbesofii cant even fool color man wit dis bullshit 
6373,kayysavag montearollin know bitch
20736,mall ball bitch buy someth
24422,showin love bitch fuck side
12290,lol  rememb bitch said like hair ask smfh wut yes 
6320,justinbieb fun get deport fuck faggot
659, khamruz fa blowin tl like bitch spare tire leavin dairi queen
24418,shit piss fuck cunt cocksuck motherfuck tit
10936,swear new bitch rap wrap 
3599, ugli goldig cunt u probabl uncircumcis peni faggot
19261,rt iowahawkblog call player pussi hes sidelin concuss low class trash talk might 
18217,rt zmega imyungjay grab bitch u lmao oh belt  fendi 
18846,rt daqraca anyon hate charli sheen 
21071,someon shut beaner pleas
4294,notevanlarkin hope love dat bitch
11818,indirect ass littl bitch like know fuck number live
17183,rt saertjemirror zebra amongst sheep
10596,touch pussi
14867,rt dinherfriend kany turn hoe housewif nigga said rip good girl forev
9809,hey peopl bird watch realiz  like hundr liter hundr free pictur boob internet right
23387,nigga talk femal tri get pussi dont realiz onli boost ego get curv
4039,marlinfishyass like sedom gas caus hit bitch one time end talkin shit night bitch fri 
24007,still dont understand whi bitch high shool would put fals eyelash everi fuck day
3914,lexiluckersyk white bitch facebook lol
23295,drink light beer hahahahahahahahahahaha pussi
18832,rt daliasza  somebodi say childish gambino trash 
16867,rt papaspaid tuesday bitch man aint even hit yet finger pop pussi sit get kitti wet
12310,lame nigga trash
2344,abc time amend  amend written protect newli freed ex slave live purpos time end anchor babi loophol
3076,druggzz gonna bring though unless turn welt alreadi like bubbl wit pussi gotta pop itll gone
22079,much fun    hoosier hoosierdaddi
5605, steak either hurri browni pictur u post made drool phone 
12266, nigga rock anyth bad bitch post post social site want nigga sniff fart ass crack like dope
6323, god bless whitey sleepin tomorrow
12644,look pussi yatchakhannah 
20018,rt silentmus overthink fuck simplest thing lighten bitch
10202,dont fuck wit bitch cuz think 
7895,babydaddi need bail money say wat gone talk whole alotta shit swear bitch gone come
18417,rt tharealist voiceofdstreetz   mani lil bitti bitch
11153,id like see someon tri hit joke bitch dont internet
19410,rt kaseymizel may may trash take pictur togeth 
9041,facebook birdsim
17577,rt tbhmoos girl tweet might ghetto u bring food outsid moviesno u might stupid u pay  
7528,aint nobodi  tl slick dead  femal bash nicca earli dis morn lol
7200, hunglikerobbi bbluedreamm dont look like white trash im pregnant  gtfo hella gas say someth
18722,rt caseofthekink men say  afraid daughter bc  want turn 
11192,im pregnant charli brown worstpeanutsspecialev
23550,aka dont ignor bitch
17643,rt thechrisc look faggot 
157,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga
15858,rt jonnyfootbali fuck bitch get touchdown
8380,cant da color da white folk get along da cept da color men got da bigga dick
3577, keselowski mattkenseth would love watch newman bitch slap johnson id pay see
6209, dont care say call someon bitch still call someon name
5856,discordianslip say one disparag word charli brown xmas special slash tire car
21836,nigga rather love hoe get money smh fuck wrong nigga
18183,rt youcanhaveh either gay straight dont talk bitch pleas 
12343,legion jig 
6114, lol wouldv beat hoe
21945,bitch back car twice onc  time
8143,bought lp manchest week idea colour vinyl man steal vinylgasm remachin
24544,hoe aint loyal n nigga aint either fuck ah bitch get ah bird
21197,stupid bitch 
4066,mdnate interest want see better pic sole
16632,rt newyorktaughtm   fuck rt juanndacut kill two bird one  
3013,derringereagl ur mom pussi die slow death well good compani virgin
23330,hoe pleasant surpris 
16656,rt nikowavi whi aint singl father get wish happi mother day like yall bitch father day
10397,gotta big head yah bitch think crown size
12250,knockin dent dis big bitch fwm everywher  
2569,beattyjustin kyoppcoalit obama bitch
22358,us spi plane fli british sky hunt jihadi john assoc advanc tech  via beforeitsnew
13352,nigga talk bout hoe aint loyal  differ barber
5630,blowm mean trash
10132,cant stand fat bitch next hairi ass leg kiss imik
13236,never seen yo bitch bet could fuck first day
16883,rt  yesallmen hoe aint loyal
7245,  bitch wea ur cloth
22497,watchu smile da foe nigguh
18519,rt  dont care ani bitch say kesha awesom 
19793,rt ohmyev crazi femal cheat wrong shes everi type hoe guy cheat 
22937,wish alliemathew would stop lazi littl rebelli come indi bitch titz tyleryost miss
7881,bc yall hoe
17190,rt    aknadnry khalilre dont care tho cracker
14126,rt   tell hoe sanctiti relationship gotta stop fuck 
14737,rt coilegefess roommat sex im eat oreo gonna great year  kutztown univers
7696,wrong fa laughin dem nicca   cryin n interrog room
8865,drop hoe someon good decis  find next episod dragonballz 
10607,want beat fuck everyon stare like bitch stahp
17309,rt shreddybradi close slap bitch 
23779,dont make direct eye contact anythingbird cat noth lol rt evbyhatesash im go west bu  
9849,hoe dey hoe pose
24051,u eat fri egg leav yolk entir yellow ur disgrac also nasti
2820,chandailbailey way delet tweet stanki bitch
5834,demimariemorin well im sure im fulli retard imustbestupid
17617,rt thatniggakeek rememb relationship friend  theyll let hoe
18762,rt chrisgeidn mandat still effect mean marriag ban nevada unconstitut trial court yet enter 
2791,caymariee bitch
388,savagetwoton next year bitch gonna like gotta promis wont expos 
15212,rt foodpornphoto oreo cheesecak bite 
24717,wow im bitch nice fuck know
19749,rt nickleberryfin know girl hoe instagram isnt privat
19202,rt istonertweet roll wife bitch
1326, amp bitch bound get hurt caus lotta nigga  yeah
6897,rbomem broke bitch
10678,like butt fuck fine ladi choke hold bitch well mayb 
19757,rt nikkilenn big dream caus small goal shit bird
5894, jordan trash
23351,know peopl ghetto leav plastic shit tvs
21010,soft nigga usual send hate threw bitch
9437,girl wear color jean 
10119,cant ever eat roast beef anymor without thinkin bout dark skin twat thank lot twitterig
1650, make salad veget bitch give break  potato salad
14640,rt chaantelli  seem like bitch
5248, littl girl tom sawyer get trap cave along injun joe almost die injun joe die find treasur
9929,bestf gon call  peopl  like ima regular niggah smh 
12606,lol lawwwddd whi aint fuck jitt never wanna label hoe
435,dont know ugli bitch dont know broke niggaskeving
10261,dont got type bad bitch onli thang like aint got life cup ice everi 
21453,young ho dont want nuthin old bank roll
7430,girlfriend almost bill lowkey point life gettin outta mom crib ill rather hoe
6541,laceeybugg bitch im talker short stfu
16365,rt mandymarin welcom good burger home good burger fuck bitch
6641, ryanriehl ill agre take ethiopian starvin look nigger ass back africa buyfoodlittleguy
22507,onli fan base larg give crap rodger chew guy nobodi bitch bradi man
2562,basedboybob nigga said woke bed fulla bitch aint een fuckin idc shit bout  harder
21329,thank charli ff    revkahjc cantucimblond kacado
23062,ya bitch pussi good aint heard  
19535,rt lildurk real fan wait want put trash like rapper  igo
10670,like call mcsulli like bad bitch pour honey silki bodi even 
24309,okay bitchlisten importantur eyebrow centimet apart
10476,hate fing bus hate fing bus high ho  hate fing bus
12723,man thought heifer yo old bitch first went fed nigga would smoke
7321,xdsmooth bet fuck yo bitch tho
12690,mt dockozlowski ted cruz proud wacko bird standwithcruz keepcruz pun
24782,ruffl  ntac eileen dahlia  beauti color combin pink orang yellow amp white coll 
8723,la mulatta refer darki thejournalista huni gwarbuck tygress
24240,pussi pop sever dont
13170,nevermind found trash
23172,yo bitch fun
6113, like bitch gram
22617,restaur drug test hahahaha fuckin trash
16680,rt nohoesnextdoor mimi proud hoe
8383,carol gonna georg lenni bitch
17470,rt  vivalaquintaa sucka hoesucka hoe im succsess
17686,rt themichaelrock answer phonecowork dead bird outsidem wanna split itcw whatm sorri finder keeper 
20837,shylock amp wong  incid democrat bigotri  week  media mum  via breitbartnew
20904,smh go play dreamcast rt thegoodfella hate play someon home trash ass default broadcast cam  camera goat
18051,rt wheeltod life hand hot potato tri throw two bird
5028,travisbechtel bitch aint shit hoe trick thuglif
14402,rt bitchiedior street nigga dont love nobodi aint day one bitch nigga
14432,rt bluntsnextdoor bitch get fuck 
21704,girl avi must get mani bitch
23875,gotta remind put da phone sometim cuz get sidetrack see bad bitch n den get mad cuz cant meet em
14529,rt  kill beaner
16888,rt  eddi teezi get pussi dont know whi alway talk shit theyv never taken anyon girl 
5541,ashhruggiero happi birthday queer
9835,hit plan mah nig
13252,new show announc lutsen mn papa char decemb   
17215,rt  dumb hoe move snail pace lifeim coo
19767,rt nostalgicmik aw yall hoe hate girl look like dude 
17803,rt tommyyrealnigga tweet dont fw crayon ex gone subtweet say onli bitch nigga fw crayon anyway
17418,rt steffyballin hate peopl ask  tryna look good  bitch bye
15468,rt  littl rememb lay horrifi bed hand puppet held mock trial convict put hand 
7327,xdsmooth hell naw bitch help
18783,rt collegefess need life bottl bitch life lesson  sam houston state
2996, ugli ass pictur thank bitch
17326,rt sirtweakalot duncanvill girl cold den hoe
20861,singl like dollar fuck bitch like im slater aww mane
24667,bitch say cant danc 
7981,school bitch sinc 
5734,chrisbrown cmpunk amus mean make cri like bitch yeah id agre
24098,god given right white bitch
8509,come nd get chicken nigger love dat chicken popey 
16174,rt leezythewarrior cant let messi hoe mess yo busi
22633,bitch suck dont bite
24477,stupid loos pussi bitch
10918,swear bitch looney like pic amp im fuck 
21422,pussi came gift wrap
12534,lmaoooort bakegriffin rememb yall bitch lotus flower bomb around time last year
1352, foreskin go circumcis  foreskin fairi take put pillow
3902, jomavaesjo ebloa case texa kill nigger might safe
21001,flappi bird game
7061,socass patrick aint nottin hood nigga top bitch nigga
9236,fuck yall hoe  gang shit 
1096, yall hoe nasti yall find yall share share dick dirti ass femal still fuck nigga 
5805, buflodolla ur fag
17408,rt stayliftedd anxieti bitch
11793,case forgot hoe sinc  dot made  dollar work still havent slept
21458,real pinchbach told nigga watch everybodi wasnt bandwagon jump bitch get austin
4554, thank go clean trash ya lil nasti lol
7810,argu make break amp get back togeth retard eye
6556,leetrebl quit bitch faggot happi cant see faggot famili cri babi littl girl cri park lot aint man sissi
16922,rt  sex bitch like like probabl parent caus aint pull
12900,moral stori like yank ill pretti much anyth tell
3371,hermannyrblog hes clue heeb
15342,rt gettemmjay befor wear thong get yo pussi check
4367,outterspaceswag chipchipperson chippah hope aint hangin wit dis wigger boy
10001,almost beat bitch
19197,rt isellgreencard faggot use uber becaus real nigga drive drunk
22881,whi give bitch inch rather  
6831,phishlicia got weed come faggot
7517,aint hoe day haha fwm
17170,rt ssnalert rick scott take  vote charli crist take  scott win second term  sayfi flapol 
19015,rt  might coupl cotton picker spur play unselfish white man basketbal
17498,rt swishaserb   black girl school ghetto  
18907,rt donnyoraha dont fuck u hoe
23835,fuck ray rice someon crack bitch
19999,rt shakiraevanss critic amanda say n word sure dont make joke sexual assault dont trash
5761,cooneyman nflcommish right rule nfl strike polici drug josh gordon retard
548,shake bear  aka two redneck sex dead bear
18453,rt ichrisp  swear n zee da onli nicca aint got da updat  right wit cha bruh
18593,rt attsmcjay one man trash anoth man treasureperfect explain stripper daddi issu
23782,dope bag pretti bitch sidei sell dope backif tryna get high ty
16771,rt  face make see hoe tri preach twitter 
9319,fuck bitch met 
3944,liveitupjersey  dont trash jerseyodd areyou wouldnt last  minut around go back watch barney
12909,hoe copi past someon copi give prop
4308,nyjusdntgaf late nigger die first
12704,major trash anyway
5869, kinda screw guinea pig onli experi tast instead got interest result
22577,westbrook ball hog bitch pass fuckin teammat want win
21190,studi center biolog divers call taxpay fund ivanpah  kill  bird year 
15971,rt keosgunnplay u kill carl nigga glenn whos gonna take care hoe maggi
15446,rt hayyylayyy im piss either go merit scholar use big word go ghetto fabul talk like im trashi either way 
12011,okay smash one homeboy bitch girl long tell afterward
448,fuck  make rule suck dragon ball bitch call goku
15718,rt  coon classic r kelli usher classic stevi wonder princ anyth wrong 
21687,reason whi block bitch
11287,im gonna go ape shit uchida
9364,gtfoh u bitch ass ref
7535,aint shit like fuck anoth nigga bitch askin pussi say lmao bitch im steal pussi lol
21432,vine start coon frenzi bruh
7365,yooocali said vibe mean say bitch dont kill vibe
24049,u doll got voodoo  u bitch
1127, cri like bitch first breakup never love 
21194,stupid ass alex scari littl bitch throw
4407,perezhilton omg ppl gonna bitch
1799, pussi pussi nasti ass nigga hope get aid  bit harsh rethink statement
20992,hoe citi make happi move montana happi rest  day
11512,im legit tri worst thing tri play game youll get bird sooo fast
2387,alancasilla bitch wat
16315,rt lydsortiz knew bad bitch kinda slow
12042,jazz jumbo dick corpor make bitch tap sinc 
5648,bradleyeckman dont say shit like lil nig  ill give  stamp
16224,rt liltunechi pik taken biebz shout nig jerem roger 
21761,hoe nigga havnt seen half 
6066,harleyschud hoe
3512,infidelali  muzzi fucker hope set go full bacon pork rind
7000, bitch taught know mess
17966,rt vacant ya girl shave pussi befor go girl someth wrong
18820,rt  boy get thirsti grimey girl pussi get ass nigga
20327,rt wittybigtwitti use word cunt veri loos
7816,tweet befor ani man tell go kitchen season could tell mom father probabl wouldnt leftbitch
18386,rt stackzz   voiceofdstreetz lol  lol diss  shut bitch
8131,bore hoe auditorium  hmu 
5758, youtub yeah great song watch msg concert  yanke stadium gig
4288,noshtickzon call pussi got block real quick bobbi kelli cant say upset
6695,miquelpaniscus arcusgreatap graspunep person actual hold ape pari sister
15333,rt gbosmg yall gotta stop pump ugli hoe head 
20895,smellin good bitch wanna hug
22553,weld shirt redneck version tan lol
17119,rt robprovinc support kill terrorist yes still mock hypocrit hell yes
7802,appl sauc bitch
17406,rt stlnetworkguru write christin laporta mosen ferguson repres allchappellenad refer white cracker amp kkk 
3260,gingerdemo riotcast weirdmedicin want call bout vitaligro aint sho doctor fo da color folk
18370,rt dattootiegurl  hoe got bodi 
11997,million bad bitch world stucc stupid
8273,bye bitch
19813,rt   lastnight  halloweencostum  hoe work outfit
15616,rt imhistreasur last week name crippl 
2840, damn thot block ur fuzzi butt  virleehol   waynebogda 
20899,smh hate hoe
2615,bittytang yes whi protest sexism go right home beg guy beat pussi im lost time
8369,cant wait till get full appetit back onli ate half ghetto sandwich lettuc noth
8421,charli crist win democrat primari florida governor race ap project  via wsj
3560,jpantsdotcom toddkincannon therealtoni naaaaa pop across tl comment nice tri faggot
17060,rt realkiddsmyllz wonder sue bitch  mf time
13104,nig kkeldalegend took good old new orlean soul food 
4081,michaelfraughto haha faggot
1511, accident ate pot browni guess goe pledg drug free life  lolz  lmao colleg
11868,hoe gone dm back
5858,dishansw ok guess aint color dont know da channel
5281,bdoe bro u trash zombi
17171,rt ssickstori peopl need stop bitch made
12366,let hoe hoe know
7215,tupacselena bitch smd
13134,pussi tast like pepsi cola
23567,alway hoe skinni lose money due therapi bill 
11981,summer bitch
473,found new way chug open mouth alot shitallysay
12575,lol follow bitch unfollow caus talkin shit shit away two
7021, wear vineyard vine american flag chubbi im opposit wigga
1846, everi bitch tell act like nigga whatev fuck 
18136,rt yaboyroshi dodg hoe like 
18092,rt workaholicblak girl becom friend omg love shoe guy becom friend excus siri see u fuck bitch 
9015,everyth dont deserv reaction dont think becaus someth im jumpno bitch im focus money sad ass
8948,enjoy  greenfestiv dc ticket code check us booth  vegan browni sampl amp 
10924,swear nobodi actual care valentin day unless singl amp jade want bitch 
21000,get someth close approxim full bird paradis yoga pose time make ragdol cosplay
24663,clear state mass ispussi sharedso girl send dat pussi shark
5825, dont shake head love trash talk
14012,rt  check homi  sole sauc stuff doe miracl   
1851,  luhv u  drunk bitch lol
7157,thelovemast im gonna nip right bud
10296,feel utter retard thank big  
1681, want pussi 
1452, yall bio  mine pretti good
18576,rt antijokeappl mom   drop outexcus  done fake bitch hw doneur  
14480,rt briannachevonn bird feather flock  hoe friend hoe bitter women bitter one hater 
14491,rt broganwebb  trash
22594,wetback look like get caught cross border ilovebamf 
21974,bitch 
12193,karma bitch cant figur shit im
19182,rt ilikewgw retweet big booti bitch
12332,leav bitch share pussi everyon fuck relationship onli peopl love hous
9669,happi birthday coon ass nigga buckciti thatlatsonkidd
11099,wish bitch ass mother would give  forchild support fuckin bitch
299, paul thinkin bout gettin rental da weekend  shit bitch betta stay da street
1107, rt ispfemm anoth jersey fail  cunt pic need  dem color wack
850,mt browngal gouach monkey tiki 
10140,cant trust bitch 
13630,onc break ion want pussi nomor rt   realli hate xbox huh
19046,rt gioisblack goodby faggot 
2246, thing cant stand deal bitch hit feetb stank ass breathc skank ass way
23142,yeah bitch 
9800,hey okrah wake alreadi alreadi know bammi moochi commi stop racist whitey hate crap
6383,kelvinkayyy safe bruv welcum twitter niggur
6086,heydenbunsyolo  birdlovin yea nativ black proud bitch
15085,rt ejrealtalk  mo claiborn  cant say enough fam 
24691,whi bitch gotta bitch
8, amp might get ya bitch back amp 
16979,rt raanonsens  point  take manual rt bitch
5367,xoxokelsey hell naw fuck bitch serv right
19532,rt lildurk ima pull eat pussi dip
10961,think im gonna walk around hous free bird
4040,marlonngain brown black ignor stupid make sick typic thug look nigger
14281,rt blaff  im  johnnyrohrcock
7791,anyon want share thought mock draft kid shut filthi damn mouth clod
17711,rt therealhoneymo dont care bitch hoe damn 
20654,see  ima stop  get twitter argu  trait  fuck 
17768,rt thotcho see jumbotron  jig
18200,rt yungmigo   done went wit hoe befor frfr judg
17125,rt  show im play bitch one fals move ima spray bitch 
16851,rt prayingforhead ya pussi stank angelsamuel 
5101,viribraceface dont rais ur hand niggah
19428,rt  bruh trash take yo ass back colleg 
3097,eatmytweetzz text dont noisi hoe watch
14361,rt beyondfat  beyondfat bitch bruhhh  nigga nigga 
21853,women aint shit hoe w trick  babygirl differ 
21917,charli murder game pretti dope xbla
15483,rt highschoolsuckz horribl friend read text put phone someth forget repli  
9572,grat hay still bitch though
24527,train station harri trash ive eurostar refund whole trip pari bc train accid
14911,rt  lmao fuck havemercyyi amp kalikushdol real talk bitch know fun
22387,unfortun love tho rt kinghorsedick vianawf ur hoe
13637,one man trash anoth man treasur
3657, ladygaga madonna lmao madonna music suck yeah fuck stupid think gaga better retard
9382,gator bitch best usin jimmi 
18392,rt michiganmad onli basic bitch put twitter 
12862,mississippi state fan best mock easi poor state hard get win top  oppon failstat
24109,weird outsid like yellow
20485,real nicca relat fuk nicca perpetr
18983,rt eternalhb u still ur feel new pussi
15264,rt fucktravonn tropicalkyl hoe talent das whi girl put book info bio get  follow
14639,rt chaaaauncey top  cartoon bitch id   dexter  lola  jessica  timmi turner mom
8981,everi nigga make femal act like bitchthatsafact
14810,rt cuhcuhcuh bitch say love hit wit revers psycholog amp say work  time cuh  
5973, might need pummel bitch 
10505,hate hoe tri play wifey roll
22307,twitter pic flossin hoe talkin papawoodal fatstink
5632,bnp overrun mongrel becaus zog jew run countri want white man perish
14047,rt  mom brought mcdonald lunch bitch
17816,rt torijberman vintagevixen lmao bummi bitch
17954,rt urbanengiish hoe aint loyal  women generat cannot trust
16460,rt mikediggem yo nigga would fuck broke realli yo nigga bitch onli fuck yo nigg 
5786,cuteasstab niggah shit serious aint one laugh
17875,rt tweetlikeagiri girl wear beani look cute amp stylish wear look like member drug cartel 
8296,call nasti hoe mrs well  
14351,rt bestoffod  grade hoe aint  
23516,yung nigger move dope
17300,rt shitpussiessay let butt chug mike hard lemonad
15094,rt earthpix bird fish li river 
13588,old hoe lol theshugaveri rt moyizzi juic gone im old bitti
3087, lol lil bitch
21546,earli bird get worm second mous get chees
2478,arianagrand bitch cumwiththewind
11974,scientif proven one cri least onc watch charli st cloud
5431,thedarius bitch
10101,make bitch famous
12675,love bitch cheralynvb  lauriemckinley
10842,realli wanna talk life fuck right pussi dude smokin blunt befor die
14762,rt complexmor someon tweet hoe aint loyal laid crib look like 
17045,rt rayhudson art thou bird man love bestth pious bird scarlet breast robinthat leav summer wind 
21801,hoe kno bout
12365,let hoe great 
20738,wanna run around citi make memori bare rememb id allow talk pussi power
8455,cheezit honey bbq lay oreo monstrous glass  right im skinnyfat poster boy
20553,rt  stop hoe sheesh  want  
5538,aschop absolut agre statement amus angri make teabagg scumbag alon worth
831,faggot kill jesuschristgt hello whatev go ahead gaymarriag pharaoh pocketsgt
16287,rt lovelymariie ginasanabria exe swear better see next bitch  
11071,watch one bitch hold camera said yall need hurri upmi batteri die nooooo
19193,rt irealfrankocean goe    love   hate   need      
14487,rt  pull ex make bitch 
6180,irwinhyp thank much bitch move pull thank 
24567,bitch said id suck dick legal cat
1928, one want see curvi women  karl  retard
1370, brooklyn bound wit money feelin like yung jeezi bitch   lmaoooo
3090,easportsfifa next updat would amazin two celebr ad  shirt  well take yellow  rko
24563,bitch
7990,hoe cute 
16250,rt    got bodi faggot   
19082,rt  cleveland nigga im fli switcharoo bitch lie
16852,rt prettygirlneic yes mimi bitch yo dumb ass got play
15196,rt firearmsdaili statist dont lie like gun control queer guy fd
11385,im fade nigga im disappear bitch
9566,gov rick scott kick charli  ass  
1916, uceina  damn alway tweet halfass tweet  meant say  still dont make 
20526,rick bitchthewalkingdead
19350,rt  historygoon alsopussyif shit offend uget twitterblock meand go suck cock
23248,fake amp im go put blast bitch
11418,im think low level ocd sort hes goin full retard pretti sure full retard
14298,rt ballininhd behind everi lame ass nigga lame ass bitch constant tell real
15397,rt guycod scientist recent discov bitch fact trippin
8689,defin wigga
20200,rt tmoneypresa bae sing aint nun cut bitch much enthusiasm 
3619,jawshoeeahhh greyyygoos jehnayi gay bitch
7425,fat bitch gt rt wayneljr strong black woman gt rt ivansplash kimgtkourtneygtkendallgtkhloegt kyli
5987,fucktyl fuck spear chucker
21628,way hawk girl green lantern whi trust hoe nope
8917,earli bird get worm 
21275,take yo hoe ass sleep
7180,tinyboatclub start whole situat dumb asa cunt
1976, best asian massag park slope top rate spa     
9634,hahahahaa fuckin crow look bitch
2309, bitch fuck told sit seat yo dumbass come say whi sit bitch 
3549,jbilinovich   guy wanna skull fuck clay bird weeknd
1766, might go plaq  gone go
7150,thejesslynn hunglikerobbi  itzmeggo threaten us bitch dont tri make 
14346,rt bellefemlavi ganglandabbi niggaz bare back ani everi bitch 
19777,rt obeyyreggi stfu hoe rt  im proud african american  proud african americanim proud white  
9680,hate aw gym cunt year id rather eat like pig drink like ive got problem
4907, father born nanticok attend lehigh im ct yanke love pennsylvania dutch cook 
24478,stupid teacher talk randymow like hes retard
5164,wowbullet cuz thought got wife pick hoe im lovin song man keep come
19175,rt  kim k got bitch thinkin hoe career health care benefit
20721,dont get emoji bag emoji pussi shit
13094,nicca elijahfnbabi swear see madden lol
4638,sammytbh youtub channel faggot
14682,rt chiiefd  wellal say fuck hoe made money
9451,glad boss old hoe 
8237,bussin bitch gwale gwala
17561,rt tastemygay share care  back tf bitch
1655,  lol  rose dat nicca   never  yee trippin
2861,citygirlmo  rememb play plaquemin amp kept call whole team gay amp lydia said ill turn hoe fwm 
8801,dont hit talk bout bitch yo pic get yo ass treat
12505,lmao bitch
3322,growword nigga goin work quit tryin kill nigga vibe broke bitch
9357,geez think northkorea may right barackobama monkey sure act like one  
9665,happi birthday liter craziest bitch know jdellasperanza im happi im relat u 
20424,rt yungtfti bitch say eeeeeee hoe
5903,eburnn bitch actin like im celebr
3861,kurtbusiek well pee oft yellow
8063,bitch nigga want anoth nigga wcw bitch dont work like
